id,title,year,rating,votes,budget,gross_world_wide,gross_us_canada,opening_weekend_gross,genres,production_companies,wins,nominations,oscars
tt27155038,Ruby Gillman: Teenage Kraken,2023,5.7,12K,70000000.0,45657745.0,15753600.0,5500990.0,"['Computer Animation', 'Teen Comedy', 'Teen Drama', 'Action', 'Adventure', 'Animation', 'Comedy']","['DreamWorks Animation', 'Mike Mitchell Productions', 'Universal Pictures']",0,3,0
tt15354916,Jawan,2023,6.9,103K,3500000000.0,28499044.0,15198530.0,6124963.0,"['Action Epic', 'One-Person Army Action', 'Action', 'Crime', 'Drama', 'Thriller']","['Red Chillies Entertainment', 'Red Chillies Entertainment']",0,52,0
tt13957560,Dumb Money,2023,6.9,54K,30000000.0,20703794.0,13925356.0,220947.0,"['Docudrama', 'Biography', 'Comedy', 'Drama', 'Financial Drama']","['Black Bear', 'Columbia Pictures', 'Ryder Picture Company']",0,2,0
tt1001520,The Last Voyage of the Demeter,2023,6.1,60K,45000000.0,21786275.0,13637180.0,6504950.0,"['Dark Fantasy', 'Supernatural Horror', 'Vampire Horror', 'Fantasy', 'Horror', 'Thriller']","['Dreamworks Pictures', 'Reliance Entertainment', 'Storyworks Productions']",0,10,0
tt8277246,His Only Son,2023,5.9,2.7K,250000.0,13817186.0,12392740.0,5501070.0,"['Drama', 'History']","['Commissioned Pictures', 'RockBridge Productions']",0,0,0
tt8373206,About My Father,2023,5.7,15K,30000000.0,18167819.0,12089391.0,4321148.0,['Comedy'],"['Lionsgate', 'Media Capital Technologies', 'Depth of Field']",0,0,0
tt13238346,Past Lives,2023,7.8,141K,12000000.0,42530801.0,11185625.0,232266.0,"['Korean Drama', 'Drama', 'Romance']","['A24', 'CJ ENM Co.', 'Killer Films']",0,232,2
tt11040844,The Machine,2023,5.7,17K,20000000.0,10664328.0,10458331.0,5000545.0,"['Action', 'Comedy']","['Screen Gems', 'Shaken Not Stirred', 'Balkanic Media']",0,0,0
tt13521006,Beau Is Afraid,2023,6.7,68K,35000000.0,12337378.0,8176562.0,320396.0,"['Dark Comedy', 'Psychological Drama', 'Psychological Horror', 'Quest', 'Tragedy', 'Comedy', 'Drama', 'Horror']","['A24', 'Access Entertainment', 'IPR.VC']",0,0,0
tt15799866,Silent Night,2023,5.3,24K,10000000.0,11067228.0,8012103.0,3010207.0,"['One-Person Army Action', 'Action', 'Thriller']","['A Better Tomorrow Films', 'Capstone Studios', 'Thunder Road Pictures']",0,0,0
tt15428134,Dunki,2023,6.5,80K,1200000000.0,15473051.0,7460159.0,2714469.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance']","['Jio Studios', 'Rajkumar Hirani Films', 'Red Chillies Entertainment']",0,25,0
tt6906292,Retribution,2023,5.3,24K,20000000.0,18685751.0,6937696.0,3518830.0,"['Car Action', 'Action', 'Thriller']","['StudioCanal', 'The Picture Company', 'Ombra Films']",0,0,0
tt13848804,Journey to Bethlehem,2023,6.4,3.1K,6000000.0,7778330.0,6820796.0,2400446.0,"['Adventure', 'Family', 'Holiday', 'Musical', 'Romance']","['Affirm Films', 'Anders Media', 'Monarch Media']",0,0,0
tt10767052,Next Goal Wins,2023,6.5,28K,14000000.0,18648802.0,6713826.0,2500295.0,"['Football', 'Soccer', 'Comedy', 'Drama', 'Sport']","[""Archer's Mark"", 'Imaginarium Productions', 'Piki Films']",0,0,0
tt13655120,I.S.S.,2023,5.3,11K,20000000.0,6605079.0,6573799.0,3064583.0,"['Psychological Thriller', 'Space Sci-Fi', 'Sci-Fi', 'Thriller']",['LD Entertainment'],0,0,0
tt7985704,Operation Fortune: Ruse de Guerre,2023,6.3,97K,50000000.0,48983306.0,6496125.0,3140214.0,"['Spy', 'Action', 'Comedy', 'Thriller']","['AZ Celtic Films', 'Miramax', 'STX Films']",0,0,0
tt12226632,Big George Foreman,2023,6.6,10K,32000000.0,6031202.0,5426772.0,2925364.0,"['Docudrama', 'Biography', 'Drama', 'Sport']","['Affirm Films', 'Mandalay Pictures', 'Sony Pictures Releasing']",0,0,0
tt15744298,Freelance,2023,5.5,24K,40000000.0,10196704.0,5314136.0,2086000.0,"['Action', 'Comedy']","['Yorkshire Film Services II', 'AGC Studios', 'Endurance Media']",0,0,0
tt17009710,Anatomy of a Fall,2023,7.7,163K,6200000.0,36051506.0,5076369.0,117848.0,"['Legal Drama', 'Legal Thriller', 'Psychological Drama', 'Psychological Thriller', 'Crime', 'Drama', 'Thriller']","['Les Films Pelléas', 'Les Films de Pierre', 'France 2 Cinéma']",0,185,0
tt11068094,White Bird,2023,7.3,4.2K,40000000.0,8799528.0,5069171.0,1557893.0,"['Biography', 'Drama', 'Family', 'War']","['Lionsgate', 'Participant', 'Kingdom Story Company']",0,0,0
tt13321244,Origin,2023,7.2,6.8K,38000000.0,4837596.0,4689830.0,117063.0,"['Drama', 'History']","['ARRAY Filmworks', 'J4A']",0,30,0
tt8080204,Hypnotic,2023,5.5,40K,70000000.0,16281937.0,4500169.0,2401686.0,"['Conspiracy Thriller', 'Psychological Thriller', 'Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']","['Blue Rider Pictures', 'Double R Productions (II)', 'Golden Liberty Films']",0,0,0
tt22375054,Strange Darling,2023,7.1,37K,4000000.0,3782220.0,3083595.0,1142928.0,"['Erotic Thriller', 'Psychological Thriller', 'Horror', 'Thriller']","['Miramax', 'No Remake Pictures', 'Spooky Pictures']",0,15,0
tt12712604,The Miracle Club,2023,6.4,6.8K,8900000.0,7498671.0,2402780.0,664607.0,"['Period Drama', 'Comedy', 'Drama']","['Zephyr Films', 'City Films Entertainment', 'Ingenious Media']",0,0,0
